"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year"
"Aconcagua Costa Syrah 2014","Chile","Aconcagua Costa","Errazuriz",4,218,19.9,"2014"
"Aconcagua Valley 2014","Chile","Aconcagua Valley","Sena",4.4,667,112.1,"2014"
"Aconcagua Valley 2016","Chile","Aconcagua Valley","Sena",4.4,463,131.6,"2016"
"Aconcagua Valley 2017","Chile","Aconcagua Valley","Sena",4.3,119,106.15,"2017"
"Acuma 2018","Spain","Jumilla","EGO",4.1,225,7.9,"2018"
"Acusp 2016","Spain","Costers del Segre","Castell d'Encus",4.1,249,38.95,"2016"
"Ad Hoc Primitivo di Manduria 2018","Italy","Primitivo di Manduria","Tenuta Giustini",4.3,53,14.5,"2018"
"Adénzia Rosso 2016","Italy","Sicilia","Baglio del Cristo di Campobello",4,125,13.4,"2016"
"Adobe Cabernet Sauvignon (Reserva) 2018","Chile","Rapel Valley","Emiliana",3.5,2135,8.45,"2018"
"Adobe Carmenère (Reserva) 2018","Chile","Colchagua Valley","Emiliana",3.7,3878,8.45,"2018"
"Adobe Merlot (Reserva) 2017","Chile","Rapel Valley","Emiliana",3.6,679,8.45,"2017"
"Adobe Syrah (Reserva) 2017","Chile","Rapel Valley","Emiliana",3.7,584,8.45,"2017"
"Adrianna Vineyard Fortuna Terrae Malbec 2013","Argentina","Mendoza","Catena Zapata",4.5,277,106.89,"2013"
"Adrianna Vineyard Fortuna Terrae Malbec 2015","Argentina","Mendoza","Catena Zapata",4.5,155,89.9,"2015"
"Adrianna Vineyard Fortuna Terrae Malbec 2016","Argentina","Mendoza","Catena Zapata",4.6,107,89.9,"2016"
"Adrianna Vineyard Mundus Bacillus Terrae Malbec 2013","Argentina","Tupungato","Catena Zapata",4.6,181,273.71,"2013"
"Aenigma Red 2014","South Africa","Elgin","Neil Ellis",3.5,122,9.9,"2014"
"Agathon 2014","Greece","Agio Oros","Tsantali",3.5,81,19.3,"2014"
"Aglianico 2014","Italy","Calabria","Ferrocinto",3.7,37,6.8,"2014"
"Aglianico 2018","Italy","Puglia","Epicuro",3.7,305,6.5,"2018"
"Aglianico Beneventano 2015","Italy","Campania","Vesevo",3.8,266,6.9,"2015"
"Aglianico Beneventano 2017","Italy","Campania","Vesevo",3.6,51,6.5,"2017"
"Aglianico Beneventano 2018","Italy","Campania","Epicuro",3.6,39,7.32,"2018"
"Aglianico Campania 2016","Italy","Campania","Mastroberardino",3.7,276,10.7,"2016"
"Aglianico Campania 2017","Italy","Campania","Villa Raiano",3.5,81,10.99,"2017"
"Aglianico Castel del Monte Bocca di Lupo 2014","Italy","Castel del Monte","Tormaresca",4.2,204,54.21,"2014"
"Aglianico del Beneventano 2018","Italy","Campania","Indomito",3.8,62,6.83,"2018"
"Aglianico del Vulture 2017","Italy","Aglianico del Vulture","Brandano",3.8,30,17.06,"2017"
"Aglianico Del Vulture Piano Del Cerro 2016","Italy","Aglianico del Vulture","Vigneti del Vulture",4.2,935,15.42,"2016"
"Aglianico Del Vulture Piano Del Cerro 2017","Italy","Aglianico del Vulture","Vigneti del Vulture",4.1,143,13.9,"2017"
"Aglianico Riserva Contado 2013","Italy","Molise","Di Majo Norante",3.7,891,11.4,"2013"
"Aglianico Rubrato 2014","Italy","Irpinia","Feudi di San Gregorio",3.5,1057,10.95,"2014"
"Aglianico Rubrato 2018","Italy","Irpinia","Feudi di San Gregorio",3.5,322,10.94,"2018"
"Agneau Rouge Bordeaux 2018","France","Bordeaux","Baron Philippe de Rothschild",3.5,128,6.05,"2018"
"Agnus 2011","Italy","Terre Siciliane","Baglio di Pianetto",4.2,45,55,"2011"
"Agnus Cabernet Sauvignon 2012","Brazil","Encruzilhada do Sul","Lidio Carraro",3.2,406,11.65,"2012"
"Agnus Malbec 2015","Brazil","Encruzilhada do Sul","Lidio Carraro",3.4,352,12.62,"2015"
"Agnus Merlot 2011","Brazil","Encruzilhada do Sul","Lidio Carraro",3.2,722,11.65,"2011"
"Agostino Petri Chianti Classico Riserva 2016","Italy","Chianti Classico","Vicchiomaggio",4.1,242,19.4,"2016"
"Ahrweiler Spätburgunder 2013","Germany","Ahrweiler","J.J. Adeneuer",3.3,47,10.67,"2013"
"Ai Colli Amarone della Valpolicella 2012","Italy","Amarone della Valpolicella","Vivaldi",3.9,577,48.74,"2012"
"Ai Colli Valpolicella Ripasso 2016","Italy","Valpolicella Ripasso","Vivaldi",3.7,858,9.26,"2016"
"Ai Suma Barbera d'Asti 2015","Italy","Barbera d'Asti","Braida",4.4,234,65,"2015"
"Ai Suma Barbera d'Asti 2016","Italy","Barbera d'Asti","Braida",4.4,142,68.65,"2016"
"Aida Montepulciano d'Abruzzo 2015","Italy","Montepulciano d'Abruzzo","Marchesi de Cordano",3.8,211,10.28,"2015"
"Aigle Les Murailles Rouge 2015","Switzerland","Aigle","Henri Badoux",3.7,112,23.17,"2015"
"Aigle Les Murailles Rouge 2018","Switzerland","Aigle","Henri Badoux",3.7,143,27.75,"2018"
"Aimery Merlot 2017","France","Pays d'Oc","Sieur d'Arques",3.2,45,5.75,"2017"
"Aires Montepulciano d'Abruzzo 2017","Italy","Montepulciano d'Abruzzo","Fosso Corno",3.7,144,5.95,"2017"
"Akkurat Rot 2018","Switzerland","Zürich","Staatskellerei Zürich",3.8,48,15.11,"2018"
"Al Limite Chianti Classico 2016","Italy","Chianti Classico","San Leonino",3.8,272,8.95,"2016"
"Al Passo Toscana 2014","Italy","Toscana","Tolaini",4,856,19.5,"2014"
"Al Passo Toscana 2015","Italy","Toscana","Tolaini",4,682,18.88,"2015"
"Al-Muvedre Tinto Monastrell 2018","Spain","Alicante","Telmo Rodriguez",3.6,124,6.95,"2018"
"Alandra Tinto 2018","Portugal","Alentejo","Esporão",3.3,1258,4.75,"2018"
"Alanera Rosso Veronese 2015","Italy","Rosso Veronese","Zenato",3.8,679,8.68,"2015"
"Alanera Rosso Veronese 2016","Italy","Rosso Veronese","Zenato",3.8,750,9.1,"2016"
"Alàuda 2015","Italy","Toscana","Ruffino",4.5,125,106.89,"2015"
"Albareda Sforzato di Valtellina 2015","Italy","Sforzato della Valtellina","Mamete Prevostini",4.3,218,55,"2015"
"Albe Barolo 2015","Italy","Barolo","G.D. Vajra",3.9,1494,50.67,"2015"
"Albe Barolo 2016","Italy","Barolo","G.D. Vajra",3.9,258,40.94,"2016"
